workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
q-conv-clustered-10vu,a,s2,10,120.176,8988,0,113,244,290,373,74.79030754892824,0
q-conv-scattered-10vu,a,s2,10,120.128,8888,0,113,255,309,407,73.98774640383591,0
q-time-1h-10vu-s2,a,s2,10,120.006,174536,19,7,10,11,12,1454.3939469693182,0
q-time-24h-10vu-s2,a,s2,10,120.005,157713,18,7,10,11,14,1314.220240823299,0
q-conv-clustered-10vu,b,s2,10,120.03,31236,0,31,73,86,116,260.2349412646838,0
q-conv-scattered-10vu,b,s2,10,120.223,5229,0,186,444,531,668,43.49417332789899,0
q-time-1h-10vu-s2,b,s2,10,120.004,138958,9,8,13,14,16,1157.944735175494,0
q-time-24h-10vu-s2,b,s2,10,120.014,81907,22,14,24,28,36,682.4787108170714,0
