seq,workload,strategy,tenant_id,key,latency_ms,output_rows,files,file_ranges,build_parts_cost,scan_cost,elapsed_await,finish_time
350,q-conv-clustered,b,eee42173-a8dc-4a3f-be3d-79f44dada5b3,bd4518df-3951-4c16-b6f7-0ebfcbb21660,73,16,80,583,16ms,112ms,47ms,68ms
340,q-conv-clustered,b,68b4d330-7ca0-476a-b224-b26bc3176700,5605c402-fd37-44dc-9305-822b05004629,250,6,80,583,11ms,476ms,104ms,244ms
360,q-conv-clustered,b,eee42173-a8dc-4a3f-be3d-79f44dada5b3,5fab4408-6a63-4ecd-9948-ed6246e3a96a,113,11,80,583,14ms,243ms,88ms,109ms
370,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,8cf4c0e3-56e4-4e4c-9f3f-6b4e13cbabad,73,9,82,585,13ms,144ms,52ms,69ms
380,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,d5b4111d-784d-4fdb-9232-233e87863223,170,10,80,582,11ms,528ms,131ms,166ms
390,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,d108befd-a179-471e-aa62-e45e7b6a5aa3,65,12,80,583,9.1ms,166ms,64ms,61ms
400,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,a6716568-7339-49e7-82ab-5a4b24da3f23,88,7,80,582,29ms,225ms,16ms,72ms
410,q-conv-clustered,b,68b4d330-7ca0-476a-b224-b26bc3176700,fe6e9842-e745-4e86-ac8f-6e3552e1f677,173,11,80,583,11ms,493ms,174ms,167ms
420,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,ca42278d-5da2-4715-bf8b-649bb5c94316,91,13,80,582,9.6ms,209ms,32ms,86ms
430,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,3d0f9961-c7e0-4ae9-8d64-9811b06b0170,109,15,80,583,11ms,325ms,94ms,104ms
440,q-conv-clustered,b,eee42173-a8dc-4a3f-be3d-79f44dada5b3,d885fa07-bb44-4684-b254-5a6faad1a068,54,8,80,583,12ms,88ms,54ms,49ms
450,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,2d9e86c9-fd6a-41c5-b704-749f9a9af256,91,15,82,585,8.5ms,173ms,46ms,87ms
460,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,e4a10d88-2171-4bbe-878b-7073232a7dfb,57,11,80,582,9.6ms,122ms,88ms,54ms
470,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,0329bc4e-9f43-40c9-af45-dcf46c6c60ba,145,9,82,584,11ms,441ms,54ms,141ms
480,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,99818444-db58-4f03-b84d-54dd21ccd099,125,12,82,585,11ms,393ms,110ms,121ms
490,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,0a3a4bb6-a2eb-4a11-820c-dd34c8369682,66,13,80,583,10ms,155ms,79ms,58ms
500,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,279c5b84-bad0-4955-833d-af1324a1f497,98,5,80,583,11ms,264ms,74ms,93ms
520,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,626aa58f-9cd2-4e3b-bd68-2b57df028ed8,45,17,80,582,12ms,91ms,25ms,41ms
510,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,fe97760f-c02d-424d-b671-f93488e68f3b,168,8,80,582,11ms,282ms,154ms,163ms
seq,workload,strategy,tenant_id,key,latency_ms,output_rows,files,file_ranges,build_parts_cost,scan_cost,elapsed_await,finish_time
10,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,d50affe1-5b15-4101-b9d7-e214ecdd1df5,61,17,80,583,10ms,154ms,28ms,55ms
20,q-conv-clustered,b,68b4d330-7ca0-476a-b224-b26bc3176700,3af84f90-733e-4d15-855d-5fedbfa5107d,208,13,80,583,10ms,455ms,156ms,202ms
30,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,1103ef4d-de7a-485f-a767-627536648d38,79,11,82,585,12ms,189ms,26ms,73ms
40,q-conv-clustered,b,c8b9a016-520f-4f67-a382-3a944aa907fb,a229ca46-9e07-4831-a476-538e865f99c8,128,9,80,583,11ms,381ms,104ms,122ms
50,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,4664e291-a501-4779-8f61-8454490566c5,165,9,82,584,11ms,602ms,110ms,161ms
70,q-conv-clustered,b,eee42173-a8dc-4a3f-be3d-79f44dada5b3,7fe9519c-f106-470d-8602-32e639eb637a,57,12,80,583,11ms,108ms,66ms,53ms
60,q-conv-clustered,b,c44dc1fc-8f74-43dd-9566-d8b2be710def,9507bf9d-7803-4f6b-bb71-1afbae76a566,159,6,80,583,12ms,348ms,36ms,155ms
80,q-conv-clustered,b,c44dc1fc-8f74-43dd-9566-d8b2be710def,15468884-1ae4-485e-9cce-c76309884fe7,111,9,80,583,11ms,150ms,34ms,107ms
90,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,a865e934-d450-4e9c-a18f-ba3d09ea5309,39,11,80,582,11ms,65ms,23ms,33ms
110,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,51bea5fb-1c04-4491-9f0e-e9eb8eb04c10,29,9,82,585,11ms,42ms,11ms,25ms
100,q-conv-clustered,b,68b4d330-7ca0-476a-b224-b26bc3176700,5a67694b-e6ad-42a1-9ec9-6b9544ae02de,278,11,80,583,9.2ms,537ms,357ms,274ms
120,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,1fc38ad6-e28b-486f-8002-44421fc1ce94,123,15,80,582,9.6ms,242ms,42ms,118ms
130,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,d49b9424-7bb1-4c6d-b154-e37f25cf775b,137,25,80,582,13ms,282ms,96ms,134ms
150,q-conv-clustered,b,eee42173-a8dc-4a3f-be3d-79f44dada5b3,9ea34848-70e3-423d-a1c9-760d3f6a3e45,52,15,80,583,12ms,88ms,56ms,49ms
140,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,026e1fbf-5b52-4c3d-a3d8-426f61b65dd0,148,9,80,582,9.4ms,307ms,124ms,143ms
160,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,9764373b-221f-4c1a-a81c-e9497f78de72,99,9,80,582,11ms,136ms,42ms,95ms
170,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,fb03fc64-78f4-462f-a3f9-6b8998fa97ed,55,12,80,583,10ms,94ms,37ms,51ms
180,q-conv-clustered,b,c44dc1fc-8f74-43dd-9566-d8b2be710def,9f3546b5-c345-4dc0-9b7c-51cdc4491778,126,9,80,583,34ms,372ms,93ms,121ms
190,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,2873c2a6-9ad0-4d2f-8ccd-eb7ba4be29dd,112,10,82,585,9.6ms,212ms,50ms,107ms
200,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,b62162c4-db4d-474a-aed6-262258f744e6,122,17,80,582,12ms,284ms,28ms,118ms
220,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,b2217c03-673b-4678-adab-f2f05f8a8ef3,46,7,82,585,8.6ms,79ms,21ms,42ms
210,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,59159804-ed3a-4fdc-b712-db4aee07434e,183,5,80,582,33ms,452ms,12ms,178ms
230,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,92b191a2-bc90-48bd-a932-02543b8393f6,106,15,80,583,10ms,269ms,115ms,101ms
240,q-conv-clustered,b,c8b9a016-520f-4f67-a382-3a944aa907fb,68143cf9-edbf-4d3c-addd-41fec5c97d07,121,7,80,583,56ms,281ms,71ms,117ms
250,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,667d1b3e-665a-43fa-b4bd-17f712c00cc9,112,14,82,584,11ms,235ms,49ms,108ms
260,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,cf0d4ad1-0954-485f-b66a-17bef9675d6f,75,9,82,585,9.7ms,107ms,40ms,72ms
270,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,71408004-3ed5-4636-a4fb-773655bbf732,98,11,80,582,9.9ms,295ms,45ms,94ms
280,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,463d624e-605b-4ace-b562-c55b735fa715,120,16,80,582,10ms,210ms,49ms,116ms
290,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,38e67440-7254-4629-9756-f94b6fb08d0b,98,12,80,582,8.4ms,253ms,71ms,93ms
300,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,5933dc06-814a-4bed-a1cb-090cb8f8d50a,176,15,82,584,9.8ms,453ms,95ms,172ms
310,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,dabe8afc-d612-4e06-b5ad-7741af13fdbd,234,13,80,582,10ms,670ms,158ms,230ms
320,q-conv-clustered,b,eee42173-a8dc-4a3f-be3d-79f44dada5b3,55cc7e5e-8229-4c76-9c0a-0c9889c672c6,35,8,80,583,11ms,104ms,27ms,32ms
330,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,a8fe2497-8ec3-4a2c-a184-9a32097abea5,143,7,82,585,11ms,500ms,112ms,137ms
340,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,bddc6956-2ac1-43a4-865e-374afb825e1c,143,14,82,585,11ms,358ms,103ms,139ms
350,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,169c4355-54b6-45c4-9729-cce4c1b58fb1,125,11,82,585,27ms,178ms,83ms,120ms
360,q-conv-clustered,b,68b4d330-7ca0-476a-b224-b26bc3176700,9ec30a9f-12d4-421c-acdd-0efb721e0464,47,10,80,583,12ms,121ms,48ms,42ms
370,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,c7eda7fa-c19d-4c9e-834e-74fdc4a3d307,212,7,82,585,12ms,687ms,126ms,207ms
390,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,b16bfaf5-864c-4eec-be9e-d07d8ff52a88,60,12,80,583,8.5ms,88ms,30ms,55ms
380,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,43e7f173-4103-44a8-a118-2bf9a2ffda8a,167,9,80,583,11ms,324ms,107ms,162ms
400,q-conv-clustered,b,68b4d330-7ca0-476a-b224-b26bc3176700,235458b7-f017-40e0-9206-c0b3b1529804,147,10,80,583,10ms,214ms,70ms,143ms
410,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,c65b3fc2-6b1f-4ff6-9c59-9f205a02a0e2,62,21,82,585,12ms,184ms,44ms,58ms
420,q-conv-clustered,b,c44dc1fc-8f74-43dd-9566-d8b2be710def,6d3c518e-0064-4975-b909-3e4094356fce,99,5,80,583,13ms,257ms,62ms,94ms
430,q-conv-clustered,b,eee42173-a8dc-4a3f-be3d-79f44dada5b3,ae64ac76-9e7d-41da-bf46-4bce5122e7b8,41,10,80,583,12ms,127ms,50ms,37ms
440,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,b022262b-c517-474f-bb6a-c6db0b48e0f0,200,10,82,584,9.1ms,307ms,66ms,195ms
450,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,fcdc9f47-1fb6-4370-95f9-3199a925aede,154,14,80,582,21ms,330ms,99ms,151ms
460,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,020fe10f-c51c-494b-8068-3990c267d89f,129,4,80,582,9.2ms,231ms,51ms,123ms
