workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.01,19343,0,5,12,13,20,161.17823514707106,26.69206732772269
w2-10vu,a,s1,10,120.052,16789,0,64,84,94,144,139.84773264918533,23.3977776296938
w2-50vu,a,s1,50,120.305,14092,0,370,460,511,1624,117.13561364864303,18.830888159261875
q-time-1h-10vu,a,s1,10,120.092,11799,0,101,108,111,115,98.24967524897579,0
q-time-24h-10vu,a,s1,10,120.09,11172,0,107,113,116,120,93.03022732950286,0
q-time-7d-10vu,a,s1,10,120.124,8996,0,132,136,138,141,74.88928107622124,0
q-id-10vu,a,s1,10,120.149,7152,0,166,178,184,193,59.52608844018677,0
q-full-10vu,a,s1,10,151.554,49,0,29812,31166,31321,32994,0.3233171014951766,0.5318566319595656
w1-1vu,a,s2,1,120.012,6105,0,20,28,29,31,50.86991300869913,1.0854697863546978
w1-10vu,a,s2,10,120.152,5699,0,211,299,311,325,47.43158665690126,1.0326869298888075
w1-50vu,a,s2,50,120.563,5598,0,1065,1520,1588,1795,46.43215580236059,1.00370926403623
q-time-1h-10vu-s2,a,s2,10,120.055,16478,0,73,84,88,94,137.25375869393193,0
q-time-24h-10vu-s2,a,s2,10,120.114,11336,0,105,121,126,142,94.37700850858351,0
q-time-7d-10vu-s2,a,s2,10,120.073,10641,0,113,126,130,137,88.62108883762379,0
q-id-10vu-s2,a,s2,10,120.214,5224,0,232,258,266,280,43.455837090521904,0
m1-1tenant,a,s1,50,300.683,22401,0,670,677,683,702,74.50038745123602,0
m2-5tenants,a,s1,50,300.583,26680,0,562,581,588,609,88.7608414314848,0
m3-50tenants,a,s1,50,300.518,28820,0,518,537,548,567,95.9010774728968,0
mixed-10vu,a,s1,10,900.084,84290,0,58,96,169,1339,93.64681518613818,1.687183640637985
mixed-50vu,a,s1,50,900.62,98198,0,237,308,2118,6026,109.03377673158491,1.8508047789300703
mixed-100vu,a,s1,100,901.066,88377,0,534,656,895,13620,98.08049576834549,1.727188907360837
w2-1vu,b,s1,1,120.01,16904,0,5,13,14,21,140.854928755937,22.95846179485043
w2-10vu,b,s1,10,120.047,14934,0,72,93,102,144,124.40127616683466,19.980924138045932
w2-50vu,b,s1,50,120.221,17091,0,324,384,428,704,142.1631828050008,23.163382437344556
q-time-1h-10vu,b,s1,10,120.179,7737,0,144,165,172,190,64.37896803934132,0
q-time-24h-10vu,b,s1,10,120.14,7471,0,160,175,180,187,62.18578325287165,0
q-time-7d-10vu,b,s1,10,120.282,3771,0,316,363,381,498,31.351324387688933,0
q-id-10vu,b,s1,10,120.308,3788,0,312,348,370,489,31.485852977358114,0
q-full-10vu,b,s1,10,152.891,38,0,36957,47907,48304,62239,0.24854307971038192,0.40885336612357825
w1-1vu,b,s2,1,120.054,4593,0,25,37,39,60,38.25778399720126,0.8245156346310827
w1-10vu,b,s2,10,120.139,5172,0,228,331,343,395,43.05013359525217,0.9211629862076428
w1-50vu,b,s2,50,120.66,5055,0,1188,1705,1764,1843,41.894579811039286,0.9004193601856456
q-time-1h-10vu-s2,b,s2,10,120.086,12121,0,99,108,110,114,100.93599586962677,0
q-time-24h-10vu-s2,b,s2,10,120.112,9988,0,119,136,142,164,83.1557213267617,0
q-time-7d-10vu-s2,b,s2,10,120.169,6599,0,182,205,211,225,54.9143289866771,0
q-id-10vu-s2,b,s2,10,120.258,4275,0,282,287,289,292,35.548570573267476,0
m1-1tenant,b,s1,50,300.926,16142,0,932,939,941,944,53.64109448834598,0
m2-5tenants,b,s1,50,300.887,16469,0,913,937,946,977,54.734834007451305,0
m3-50tenants,b,s1,50,300.758,20441,0,733,771,785,834,67.96494191343207,0
m4-50tenants-b,b,s1,50,300.721,20416,0,736,771,781,805,67.89017062326874,0
mixed-10vu,b,s1,10,900.113,61336,0,76,154,301,1822,68.14255543470652,1.191124892096881
mixed-50vu,b,s1,50,900.61,61469,0,383,528,2237,9735,68.25262877383106,1.2110529529985232
mixed-100vu,b,s1,100,901.309,60506,0,773,961,6740,19816,67.13125021496512,1.2481222311105293
