workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.002,17306,0,5,12,14,21,144.21426309561508,24.447592540124333
w2-10vu,a,s1,10,120.059,16968,0,65,79,84,104,141.33051249802182,23.10405717189049
w2-50vu,a,s1,50,120.543,13705,0,360,429,475,3496,113.6938685780178,17.98889193068034
q-time-1h-10vu,a,s1,10,120.086,12100,0,99,109,113,120,100.76112119647586,0
q-time-24h-10vu,a,s1,10,120.113,9745,0,124,127,128,130,81.1319340953935,0
q-time-7d-10vu,a,s1,10,120.124,9687,0,124,129,131,134,80.64167027405016,0
q-id-10vu,a,s1,10,120.178,6800,0,176,183,187,198,56.58273560884688,0
q-full-10vu,a,s1,10,139.177,61,0,21701,26107,27365,28402,0.4382908095446805,0.7209883817009994
w1-1vu,a,s2,1,120.005,5880,0,20,29,30,32,48.997958418399236,1.063870672055331
w1-10vu,a,s2,10,120.093,5669,0,212,299,311,326,47.20508272755281,1.0172666183707626
w1-50vu,a,s2,50,120.609,5701,0,1048,1498,1561,1619,47.26844597003541,1.0183303070251806
q-time-1h-10vu-s2,a,s2,10,120.08,17920,0,67,76,78,84,149.23384410393072,0
q-time-24h-10vu-s2,a,s2,10,120.074,10405,0,115,130,135,146,86.65489614737578,0
q-time-7d-10vu-s2,a,s2,10,120.126,9520,0,126,140,144,152,79.2501207065914,0
q-id-10vu-s2,a,s2,10,120.206,5669,0,212,246,256,272,47.16070745220704,0
m1-1tenant,a,s1,50,300.738,20382,0,737,746,750,756,67.77327773676755,0
m2-5tenants,a,s1,50,300.637,23096,0,649,666,677,698,76.82354467347665,0
m3-50tenants,a,s1,50,300.562,26881,0,558,571,575,590,89.43579028619719,0
mixed-10vu,a,s1,10,900.139,78889,0,62,99,170,1446,87.64090879297531,1.530905115765454
mixed-50vu,a,s1,50,900.675,87172,0,268,344,552,6821,96.7851888861132,1.7088163877092182
mixed-100vu,a,s1,100,901.018,78223,0,586,712,5527,15199,86.81624562439374,1.508979842800033
