workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120.01,16904,0,5,13,14,21,140.854928755937,22.95846179485043
w2-10vu,b,s1,10,120.047,14934,0,72,93,102,144,124.40127616683466,19.980924138045932
w2-50vu,b,s1,50,120.221,17091,0,324,384,428,704,142.1631828050008,23.163382437344556
q-time-1h-10vu,b,s1,10,120.179,7737,0,144,165,172,190,64.37896803934132,0
q-time-24h-10vu,b,s1,10,120.14,7471,0,160,175,180,187,62.18578325287165,0
q-time-7d-10vu,b,s1,10,120.282,3771,0,316,363,381,498,31.351324387688933,0
q-id-10vu,b,s1,10,120.308,3788,0,312,348,370,489,31.485852977358114,0
q-full-10vu,b,s1,10,152.891,38,0,36957,47907,48304,62239,0.24854307971038192,0.40885336612357825
w1-1vu,b,s2,1,120.054,4593,0,25,37,39,60,38.25778399720126,0.8245156346310827
w1-10vu,b,s2,10,120.139,5172,0,228,331,343,395,43.05013359525217,0.9211629862076428
w1-50vu,b,s2,50,120.66,5055,0,1188,1705,1764,1843,41.894579811039286,0.9004193601856456
q-time-1h-10vu-s2,b,s2,10,120.086,12121,0,99,108,110,114,100.93599586962677,0
q-time-24h-10vu-s2,b,s2,10,120.112,9988,0,119,136,142,164,83.1557213267617,0
q-time-7d-10vu-s2,b,s2,10,120.169,6599,0,182,205,211,225,54.9143289866771,0
q-id-10vu-s2,b,s2,10,120.258,4275,0,282,287,289,292,35.548570573267476,0
m1-1tenant,b,s1,50,300.926,16142,0,932,939,941,944,53.64109448834598,0
m2-5tenants,b,s1,50,300.887,16469,0,913,937,946,977,54.734834007451305,0
m3-50tenants,b,s1,50,300.758,20441,0,733,771,785,834,67.96494191343207,0
m4-50tenants-b,b,s1,50,300.721,20416,0,736,771,781,805,67.89017062326874,0
mixed-10vu,b,s1,10,900.113,61336,0,76,154,301,1822,68.14255543470652,1.191124892096881
mixed-50vu,b,s1,50,900.61,61469,0,383,528,2237,9735,68.25262877383106,1.2110529529985232
mixed-100vu,b,s1,100,901.309,60506,0,773,961,6740,19816,67.13125021496512,1.2481222311105293
