workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.01,19343,0,5,12,13,20,161.17823514707106,26.69206732772269
w2-10vu,a,s1,10,120.052,16789,0,64,84,94,144,139.84773264918533,23.3977776296938
w2-50vu,a,s1,50,120.305,14092,0,370,460,511,1624,117.13561364864303,18.830888159261875
q-time-1h-10vu,a,s1,10,120.092,11799,0,101,108,111,115,98.24967524897579,0
q-time-24h-10vu,a,s1,10,120.09,11172,0,107,113,116,120,93.03022732950286,0
q-time-7d-10vu,a,s1,10,120.124,8996,0,132,136,138,141,74.88928107622124,0
q-id-10vu,a,s1,10,120.149,7152,0,166,178,184,193,59.52608844018677,0
q-full-10vu,a,s1,10,151.554,49,0,29812,31166,31321,32994,0.3233171014951766,0.5318566319595656
w1-1vu,a,s2,1,120.012,6105,0,20,28,29,31,50.86991300869913,1.0854697863546978
w1-10vu,a,s2,10,120.152,5699,0,211,299,311,325,47.43158665690126,1.0326869298888075
w1-50vu,a,s2,50,120.563,5598,0,1065,1520,1588,1795,46.43215580236059,1.00370926403623
q-time-1h-10vu-s2,a,s2,10,120.055,16478,0,73,84,88,94,137.25375869393193,0
q-time-24h-10vu-s2,a,s2,10,120.114,11336,0,105,121,126,142,94.37700850858351,0
q-time-7d-10vu-s2,a,s2,10,120.073,10641,0,113,126,130,137,88.62108883762379,0
q-id-10vu-s2,a,s2,10,120.214,5224,0,232,258,266,280,43.455837090521904,0
m1-1tenant,a,s1,50,300.683,22401,0,670,677,683,702,74.50038745123602,0
m2-5tenants,a,s1,50,300.583,26680,0,562,581,588,609,88.7608414314848,0
m3-50tenants,a,s1,50,300.518,28820,0,518,537,548,567,95.9010774728968,0
mixed-10vu,a,s1,10,900.084,84290,0,58,96,169,1339,93.64681518613818,1.687183640637985
mixed-50vu,a,s1,50,900.62,98198,0,237,308,2118,6026,109.03377673158491,1.8508047789300703
mixed-100vu,a,s1,100,901.066,88377,0,534,656,895,13620,98.08049576834549,1.727188907360837
