workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.001,18121,0,6,9,10,13,151.00707494104216,24.9303755802035
w2-10vu,a,s1,10,120.005,110986,0,9,13,15,66,924.8447981334111,154.1415774342736
w2-50vu,a,s1,50,120.008,188817,0,29,46,57,84,1573.3701086594228,259.2075944937004
q-time-1h-10vu,a,s1,10,120.044,27125,0,39,77,89,114,225.9588151011296,0
q-time-24h-10vu,a,s1,10,120.06,30122,0,35,67,78,103,250.8912210561386,0
q-time-7d-10vu,a,s1,10,120.057,32354,0,34,61,70,88,269.4886595533788,0
q-id-10vu,a,s1,10,120.023,36136,0,29,55,64,82,301.0756271714588,0
q-conv-clustered-10vu,a,s2,10,120.027,46755,0,20,46,55,74,389.53735409532857,0
q-conv-scattered-10vu,a,s2,10,120.072,8555,0,121,265,294,345,71.2489173162769,0
w1-1vu,a,s2,1,120.002,2417,0,49,71,74,78,20.141330977817038,0.42912284795253414
w1-10vu,a,s2,10,120.06,20531,0,58,85,91,101,171.00616358487423,3.702953523238381
w1-50vu,a,s2,50,120.099,44374,0,134,194,205,226,369.4785135596466,7.963207020874445
q-time-1h-10vu-s2,a,s2,10,120.021,94761,54,12,19,22,27,789.5368310545655,0
q-time-24h-10vu-s2,a,s2,10,120.003,92887,50,12,19,22,27,774.0389823587743,0
q-time-7d-10vu-s2,a,s2,10,120.02,65489,17,17,30,34,43,545.6507248791868,0
q-id-10vu-s2,a,s2,10,120.059,26045,0,36,100,119,150,216.93500695491383,0
m1-1tenant,a,s1,50,300.025,327166,0,44,73,81,97,1090.462461461545,0
m2-5pct,a,s1,50,300.077,246937,0,32,154,183,235,822.9121192227328,0
m3-50pct,a,s1,50,300.036,332407,0,32,97,117,157,1107.8903864869549,0
mixed-10vu,a,s1,10,900.05,131411,0,56,135,162,239,146.00411088272875,2.6167272929281706
mixed-50vu,a,s1,50,900.162,341952,0,74,249,347,1274,379.87828857472323,6.6409341874018235
mixed-100vu,a,s1,100,900.198,478308,0,98,231,527,2064,531.3364393166837,9.305336603724959
