workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.002,14126,0,8,11,12,16,117.71470475492076,19.57775703738271
w2-10vu,a,s1,10,120.003,104326,0,10,14,16,66,869.361599293351,142.1089472763181
w2-50vu,a,s1,50,120.013,177095,0,31,51,61,87,1475.6318065542898,240.99139259913508
q-time-1h-10vu,a,s1,10,120.036,23038,0,46,101,120,163,191.92575560665134,0
q-time-24h-10vu,a,s1,10,120.079,23102,0,46,102,124,164,192.3900099101425,0
q-time-7d-10vu,a,s1,10,120.064,22121,0,49,102,121,164,184.24340351812367,0
q-id-10vu,a,s1,10,120.066,28242,0,36,68,82,110,235.22062865424016,0
q-conv-clustered-10vu,a,s2,10,120.37,2681,0,384,884,1017,1273,22.27299160920495,0
q-conv-scattered-10vu,a,s2,10,120.615,1704,0,612,1324,1595,2009,14.12759607014053,0
w1-1vu,a,s2,1,120.007,2505,0,47,68,71,81,20.873782362695508,0.44934045514011683
w1-10vu,a,s2,10,120.055,19183,0,62,89,94,121,159.7850984965224,3.4513847819749284
w1-50vu,a,s2,50,120.106,36236,0,160,252,273,308,301.70016485437867,6.5236008192763055
q-time-1h-10vu-s2,a,s2,10,120.03,53736,30,21,37,43,56,447.6880779805049,0
q-time-24h-10vu-s2,a,s2,10,120.031,52353,13,21,38,44,58,436.16232473277734,0
q-time-7d-10vu-s2,a,s2,10,120.034,38997,0,30,47,55,74,324.8829498308812,0
q-id-10vu-s2,a,s2,10,120.142,5547,0,179,513,607,812,46.170365068002866,0
m1-1tenant,a,s1,50,300.242,43946,0,333,544,604,733,146.36859599922727,0
m2-5pct,a,s1,50,300.122,135668,0,68,268,324,430,452.0428359133952,0
m3-50pct,a,s1,50,300.054,240989,0,39,146,180,240,803.1520992887947,0
mixed-10vu,a,s1,10,900.121,108569,0,71,157,189,281,120.616006070295,2.073910729779663
mixed-50vu,a,s1,50,900.182,272827,0,90,324,469,1588,303.07982163606914,5.336481955871146
mixed-100vu,a,s1,100,900.191,357888,0,126,326,843,2787,397.56896036507806,6.876646622772278
w2-1vu,b,s1,1,120.003,15564,0,7,11,12,14,129.69675758106047,21.666791663541744
w2-10vu,b,s1,10,120.008,111636,0,10,14,16,43,930.2379841343911,154.8583011132591
w2-50vu,b,s1,50,120.016,173035,0,32,53,63,88,1441.7660978536194,237.86670110651914
q-time-1h-10vu,b,s1,10,120.118,12937,0,92,164,192,255,107.70242594781799,0
q-time-24h-10vu,b,s1,10,120.147,12882,0,93,165,194,253,107.21865714499738,0
q-time-7d-10vu,b,s1,10,120.137,8246,0,121,294,349,444,68.63830460224577,0
q-id-10vu,b,s1,10,120.229,8567,0,110,272,332,478,71.25568706385314,0
q-conv-clustered-10vu,b,s2,10,165.433,34,0,35971,58347,61246,64216,0.2055212684289108,0
q-conv-scattered-10vu,b,s2,10,171.415,30,0,46260,81720,89696,92973,0.1750138552635417,0
w1-1vu,b,s2,1,120.054,2297,0,52,74,80,105,19.133056791110665,0.40889599680143934
w1-10vu,b,s2,10,120.062,18244,0,64,93,100,136,151.95482334127368,3.2940547383851677
w1-50vu,b,s2,50,120.118,34066,0,169,269,294,353,283.6044556186417,6.112830716462145
q-time-1h-10vu-s2,b,s2,10,120.072,21607,7,50,86,98,125,179.95036311546406,0
q-time-24h-10vu-s2,b,s2,10,120.051,21648,10,50,85,98,123,180.32336257090736,0
q-time-7d-10vu-s2,b,s2,10,120.098,8831,0,102,274,317,409,73.53161584705823,0
q-id-10vu-s2,b,s2,10,139.681,68,0,17724,44784,55157,67487,0.48682354794138066,0
m1-1tenant,b,s1,50,300.098,46461,0,311,530,591,691,154.81942565428625,0
m2-5pct,b,s1,50,300.099,69262,0,207,424,487,612,230.7971702671452,0
m3-50pct,b,s1,50,300.112,133318,0,31,313,381,508,444.227488404329,0
m4-50pct-b,b,s1,50,300.071,132909,0,30,312,380,508,442.9251743753978,0
mixed-10vu,b,s1,10,900.125,83599,0,94,196,241,358,92.87487848909873,1.608829218164144
mixed-50vu,b,s1,50,903.586,68765,0,81,298,4239,13746,76.10233004938102,1.3342723326833306
mixed-100vu,b,s1,100,904.964,64833,0,430,3729,8893,15208,71.64152386172267,1.272428074486941
