workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.002,14126,0,8,11,12,16,117.71470475492076,19.57775703738271
w2-10vu,a,s1,10,120.003,104326,0,10,14,16,66,869.361599293351,142.1089472763181
w2-50vu,a,s1,50,120.013,177095,0,31,51,61,87,1475.6318065542898,240.99139259913508
q-time-1h-10vu,a,s1,10,120.036,23038,0,46,101,120,163,191.92575560665134,0
q-time-24h-10vu,a,s1,10,120.079,23102,0,46,102,124,164,192.3900099101425,0
q-time-7d-10vu,a,s1,10,120.064,22121,0,49,102,121,164,184.24340351812367,0
q-id-10vu,a,s1,10,120.066,28242,0,36,68,82,110,235.22062865424016,0
q-conv-clustered-10vu,a,s2,10,120.37,2681,0,384,884,1017,1273,22.27299160920495,0
q-conv-scattered-10vu,a,s2,10,120.615,1704,0,612,1324,1595,2009,14.12759607014053,0
w1-1vu,a,s2,1,120.007,2505,0,47,68,71,81,20.873782362695508,0.44934045514011683
w1-10vu,a,s2,10,120.055,19183,0,62,89,94,121,159.7850984965224,3.4513847819749284
w1-50vu,a,s2,50,120.106,36236,0,160,252,273,308,301.70016485437867,6.5236008192763055
q-time-1h-10vu-s2,a,s2,10,120.03,53736,30,21,37,43,56,447.6880779805049,0
q-time-24h-10vu-s2,a,s2,10,120.031,52353,13,21,38,44,58,436.16232473277734,0
q-time-7d-10vu-s2,a,s2,10,120.034,38997,0,30,47,55,74,324.8829498308812,0
q-id-10vu-s2,a,s2,10,120.142,5547,0,179,513,607,812,46.170365068002866,0
m1-1tenant,a,s1,50,300.242,43946,0,333,544,604,733,146.36859599922727,0
m2-5pct,a,s1,50,300.122,135668,0,68,268,324,430,452.0428359133952,0
m3-50pct,a,s1,50,300.054,240989,0,39,146,180,240,803.1520992887947,0
mixed-10vu,a,s1,10,900.121,108569,0,71,157,189,281,120.616006070295,2.073910729779663
mixed-50vu,a,s1,50,900.182,272827,0,90,324,469,1588,303.07982163606914,5.336481955871146
mixed-100vu,a,s1,100,900.191,357888,0,126,326,843,2787,397.56896036507806,6.876646622772278
