workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,a,s1,1,120.006,16109,0,7,10,11,15,134.23495491892072,22.23059680349316
w2-10vu,a,s1,10,120.008,102742,0,10,14,16,68,856.1262582494501,139.42437170855277
w2-50vu,a,s1,50,120.031,182085,0,30,49,60,94,1516.9831126958868,251.1220018161975
q-time-1h-10vu,a,s1,10,120.052,21427,0,54,93,108,143,178.48099157031953,0
q-time-24h-10vu,a,s1,10,120.055,20867,0,55,98,114,150,173.81200283203532,0
q-time-7d-10vu,a,s1,10,120.076,20998,0,56,96,114,152,174.87258069889072,0
q-id-10vu,a,s1,10,121.825,926,0,583,3525,4460,5626,7.601067104453109,0
q-conv-clustered-10vu,a,s2,10,120.07,17933,0,57,119,142,193,149.35454318314316,0
q-conv-scattered-10vu,a,s2,10,120.39,3089,0,314,764,912,1217,25.658277265553618,0
w1-1vu,a,s2,1,120.016,2959,0,40,58,61,66,24.655045993867482,0.5266981069190775
w1-10vu,a,s2,10,120.055,19440,0,60,89,94,112,161.92578401565947,3.4997726042230646
w1-50vu,a,s2,50,120.114,36693,0,160,241,262,296,305.48478945002245,6.599370597931965
q-time-1h-10vu-s2,a,s2,10,120.026,62162,51,19,30,35,45,517.9044540349591,0
q-time-24h-10vu-s2,a,s2,10,120.032,49535,27,24,38,44,57,412.6816182351373,0
q-time-7d-10vu-s2,a,s2,10,120.032,47126,19,25,40,47,61,392.61197014129567,0
q-id-10vu-s2,a,s2,10,120.042,24597,8,42,98,120,165,204.90328385065226,0
m1-1tenant,a,s1,50,300.046,214057,0,68,113,129,160,713.4139431953768,0
m2-5pct,a,s1,50,300.047,240845,0,38,153,186,250,802.690911757158,0
m3-50pct,a,s1,50,300.042,317172,0,26,117,149,206,1057.0920071190035,0
mixed-10vu,a,s1,10,901.958,41013,0,47,280,1522,3589,45.47107514984068,0.7636264659773515
mixed-50vu,a,s1,50,912.273,41103,0,39,1319,6459,25459,45.055591911631716,0.7896570434508091
mixed-100vu,a,s1,100,907.931,28509,0,883,10572,18379,29512,31.399963213063547,0.5567321745815486
