workload,strategy,scenario,concurrency,durationSecs,count,errors,p50,p90,p95,p99,throughputQps,throughputMbps
w2-1vu,b,s1,1,120,15190,0,7,11,12,22,126.58333333333333,20.584875
w2-10vu,b,s1,10,120.049,89592,0,12,17,20,43,746.2952627677031,122.0671559113362
w2-50vu,b,s1,50,120.068,163093,0,33,66,76,99,1358.3386081220642,222.07786421028084
q-time-1h-10vu,b,s1,10,120.442,1243,0,931,1331,1462,1727,10.320320154099068,0
q-time-24h-10vu,b,s1,10,120.513,1199,0,975,1392,1519,1774,9.949134118310887,0
q-time-7d-10vu,b,s1,10,124.194,95,0,12229,16668,17261,19584,0.7649322833631255,0
q-id-10vu,b,s1,10,170.56,26,0,47927,134978,159391,159404,0.1524390243902439,0
q-conv-clustered-10vu,b,s2,10,143.41,41,0,28465,50908,53371,55816,0.28589359179973506,0
q-conv-scattered-10vu,b,s2,10,135.507,39,0,23252,76276,82882,83881,0.2878080099183068,0
w1-1vu,b,s2,1,120.021,2399,0,50,71,78,96,19.988168737137666,0.4338874030378017
w1-10vu,b,s2,10,120.073,15509,0,77,110,119,143,129.16309245209166,2.7955343832501893
w1-50vu,b,s2,50,120.15,31820,0,154,357,387,431,264.8356221389929,5.727575530586766
q-time-1h-10vu-s2,b,s2,10,120.037,31082,27,37,57,64,80,258.9368278114248,0
q-time-24h-10vu-s2,b,s2,10,120.052,33080,18,35,53,60,75,275.54726285276377,0
q-time-7d-10vu-s2,b,s2,10,120.045,14532,9,71,138,169,222,121.05460452330377,0
q-id-10vu-s2,b,s2,10,142.843,66,0,12685,53540,62494,83310,0.4620457425285104,0
m1-1tenant,b,s1,50,300.566,9292,0,1559,2228,2542,3035,30.91500702008877,0
m2-5pct,b,s1,50,300.746,9506,0,1521,2199,2462,2992,31.608067937728183,0
m3-50pct,b,s1,50,300.791,9795,0,1482,2117,2365,2845,32.56413921959101,0
m4-50pct-b,b,s1,50,300.488,9650,0,1508,2126,2369,2949,32.1144271984239,0
mixed-10vu,b,s1,10,944.055,1145,23,104,20361,68070,128434,1.2128530647049167,0.017253443920110585
mixed-50vu,b,s1,50,1258.297,659,0,453,501234,690405,909513,0.52372373136072,0.007759217418463208
mixed-100vu,b,s1,100,1417.386,644,0,4707,711687,907906,1083021,0.4543575285772542,0.005996954957929597
